v1,v2
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
ham,ok lar joking wif u oni
spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s
ham,u dun say so early hor u c already then say
ham,nah i dont think he goes to usf he lives around here though
spam,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send 150 to rcv
ham,even my brother is not like to speak with me they treat me like aids patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
spam,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only
spam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
spam,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
spam,urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
ham,i have a date on sunday with will
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching here
ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet
ham,fine if thats the way u feel thats the way its gota b
spam,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16
ham,is that seriously how you spell his name
ham,im going to try for 2 months ha ha only joking
ham,so  pay first lar then when is da stock comin
ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already
ham,ffffffffff alright no way i can meet up with you sooner
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
ham,lol your always so convincing
ham,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love 
ham,im back amp were packing the car now ill let you know if theres room
ham,ahhh work i vaguely remember that what does it feel like lol
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you 
ham,k tell me anything about you
ham,for fear of fainting with the of all that housework you just did quick have a cuppa
spam,thanks for your subscription to ringtone uk your mobile will be charged 5month please confirm by replying yes or no if you reply no you will not be charged
ham,yup ok i go home look at the timings then i msg  again xuhui going to learn on 2nd may too but her lesson is at 8am
ham,oops ill let you know when my roommates done
ham,i see the letter b on my car
ham,anything lor u decide
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
ham,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy
spam,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow
ham,who are you seeing
ham,great i hope you like your man well endowed i am  ltgt  inches
ham,no callsmessagesmissed calls
ham,didnt you get hep b immunisation in nigeria
ham,fair enough anything going on
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit
ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
ham,what you thinked about me first time you saw me in class
ham,a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt
ham,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
ham,do you know what mallika sherawat did yesterday find out now   lturlgt
spam,congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out 
ham,sorry ill call later in meeting
ham,tell where you reached
ham,yesgauti and sehwag out of odi series
ham,your gonna have to pick up a 1 burger for yourself on your way home i cant even move pain is killing me
ham,ha ha ha good joke girls are situation seekers
ham,its a part of checking iq
ham,sorry my roommates took forever it ok if i come by now
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or 1000 to claim txt dis to 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,did you hear about the new divorce barbie it comes with all of kens stuff
ham,i plane to give on this month end
ham,wah lucky man then can save money hee
ham,finished class where are you
ham,hi babe im at home now wanna do something xx
ham,kkwhere are youhow did you performed
ham,u can call me now
ham,i am waiting machan call me once you free
ham,thats cool i am a gentleman and will treat you with dignity and respect
ham,i like you peoples very much but am very shy pa
ham,does not operate after  ltgt  or what
ham,its not the same here still looking for a job how much do tas earn there
ham,sorry ill call later
ham,k did you call me just now ah 
ham,ok i am on the way to home hi hi
ham,you will be in the place of that man
ham,yup next stop
ham,i call you later dont have network if urgnt sms me
ham,for real when u getting on yo i only need 2 more tickets and one more jacket and im done i already used all my multis
ham,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros
ham,im really not up to it still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah do dont stand to close tho youll catch something
ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuff42moro and that includes all my time sheets and that sorry 
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling
spam,please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize
ham,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already
spam,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml
ham,watching telugu moviewat abt u
ham,i see when we finish we have loads of loans to pay
ham,hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u
ham,please dont text me anymore i have nothing else to say
ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
ham,im still looking for a car to buy and have not gone 4the driving test yet
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
ham,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
ham,umma my life and vava umma love you lot dear
ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
ham,aight ill hit you up when i get some cash
ham,how would my ip address test that considering my computer isnt a minecraft server
ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
ham,dont worry i guess hes busy
ham,what is the plural of the noun research
ham,going for dinnermsg you after
ham,im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud
spam,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm
ham,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened
ham,as i entered my cabin my pa said  happy bday boss  i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there
spam,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18 
ham,goodo yes we must speak friday  eggpotato ratio for tortilla needed 
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food
spam,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires
spam,urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm
ham,here is my new address applespairsall that malarky
spam,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,i am going to sao mu today will be done only at 12 
ham, predict wat time ll finish buying
ham,good stuff will do
ham,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise
ham,are you there in room
ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
ham,kkhow much does it cost
ham,im home
ham,dear will call tmorrowpls accomodate
ham,first answer my question
spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 150 sptyrone
spam,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uks largest dogging network bt txting gravel to 69888 nt ec2a 31pmsg150p
ham,i only haf msn its yijuehotmailcom
ham,he is there you call and meet him
ham,no no i will check all rooms befor activities
spam,youll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network  try again
ham,got c i lazy to type i forgot  in lect i saw a pouch but like not v nice
ham,k text me when youre on the way
ham,sir waiting for your mail
ham,a swt thought nver get tired of doing little things 4 lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni8
ham,i know you are can you pls open the back
ham,yes see ya not on the dot
ham,whats the staff name who is taking class for us
